job_title, company_name, state, city, link 
(ccis) front-end developer,Ahold delhaize,Massachusetts,Quincy,https://nucareers.northeastern.edu/postings.htm?pId=1853923
(ccis) front end developer,Ahold usa / retail business services llc,Massachusetts,Quincy,https://nucareers.northeastern.edu/postings.htm?pId=1850864
Global resiliency co-op,Air worldwide,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1858767
(global) aerospace co-ops,Airbus france,Global ,Toulouse,https://nucareers.northeastern.edu/postings.htm?pId=1848180
Systems analyst,Amazon.com  inc.,Massachusetts,North reading,https://nucareers.northeastern.edu/postings.htm?pId=1858836
Mechatronics co-op,Amazon.com  inc.,Massachusetts,North reading,https://nucareers.northeastern.edu/postings.htm?pId=1847494
Technical writer,Amazon.com  inc.,Massachusetts,North reading,https://nucareers.northeastern.edu/postings.htm?pId=1854808
(ccis) software development engineer,Amazon.com  inc.,Washington,Seattle,https://nucareers.northeastern.edu/postings.htm?pId=1852027
Co-op engineer fall 2018,Amd (advanced micro devices),Massachusetts,Boxborough,https://nucareers.northeastern.edu/postings.htm?pId=1842685
(ccis) ils (insurance linked securities) co-op,Amundi pioneer asset management usa  inc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859272
Satellite operations engineer - coop,Analytical space,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1847119
(ccis) it support co-op,Anaqua,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1858712
Editorial assistant/project management,Aptara  inc.,Massachusetts,Newton,https://nucareers.northeastern.edu/postings.htm?pId=1846727
Engineering co-op,Armenian volunteer corps & birthright armenia,Global ,Yerevan,https://nucareers.northeastern.edu/postings.htm?pId=1854050
Computer science co-op,Armenian volunteer corps & birthright armenia,Global ,Yerevan,https://nucareers.northeastern.edu/postings.htm?pId=1854058
Videography/photography co-op,Armenian volunteer corps & birthright armenia,Global ,Yerevan,https://nucareers.northeastern.edu/postings.htm?pId=1854056
Global venture and fellowship/changemakers & bootcamp product,Ashoka: innovators for the public,District of columbia,Arlington,https://nucareers.northeastern.edu/postings.htm?pId=1845437
Ashoka mexico - venture & fellowship program intern,Ashoka,Global ,Mexico city  df,https://nucareers.northeastern.edu/postings.htm?pId=1845464
Ashoka indonesia - intern,Ashoka,Global ,Singapore,https://nucareers.northeastern.edu/postings.htm?pId=1845466
Ashoka switzerland - intern,Ashoka,Global ,Geneve,https://nucareers.northeastern.edu/postings.htm?pId=1845467
(ccis) c# developer intern - salem  ma,Assemble systems  llc,Massachusetts,Salem,https://nucareers.northeastern.edu/postings.htm?pId=1851350
(ccis) c# developer intern - houston  tx,Assemble systems  llc,Texas,Houston,https://nucareers.northeastern.edu/postings.htm?pId=1851352
(ccis) digital forensic intern,Attorney general  massachusetts,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1847981
(ccis) intern  recombinant qa engineer,Autodesk  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859080
(ccis) intern  goldmine software engineer,Autodesk  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859086
(ccis) intern web software engineer,Autodesk  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1858009
(ccis) intern  software development,Autodesk  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859536
(ccis) intern  quality assurance,Autodesk  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859545
Software engineer  data science co-op,Avigilon corporation,Massachusetts,Somerville,https://nucareers.northeastern.edu/postings.htm?pId=1856522
Test engineering,Axcelis technologies  inc.,Massachusetts,Beverly,https://nucareers.northeastern.edu/postings.htm?pId=1856428
(global) innovation programs manager,Babele,Global ,Bucuresti,https://nucareers.northeastern.edu/postings.htm?pId=1851106
(ccis) developer co-op  baseball systems,Baltimore orioles,Maryland,Baltimore,https://nucareers.northeastern.edu/postings.htm?pId=1851543
(ccis) data quality analyst intern,Barton & associates  inc.,Massachusetts,Peabody,https://nucareers.northeastern.edu/postings.htm?pId=1847991
(ccis) software developers - text analytics,Basis technology corporation,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1858789
Business analyst intern,Beacon health options,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1846015
Co-op: it internal audit,Biogen inc.,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1855818
Co-op - image analysis,Biogen inc.,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1859731
Intern  sw development,Biosensics llc,Massachusetts,Watertown,https://nucareers.northeastern.edu/postings.htm?pId=1854744
Intern  sw development,Biosensics llc,Massachusetts,Watertown,https://nucareers.northeastern.edu/postings.htm?pId=1854751
(ccis) product co-op,Bluewave solar,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1858350
Product management co-op,Bny mellon,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859836
Global training software developer co-op,Bose corporation,Massachusetts,Stow,https://nucareers.northeastern.edu/postings.htm?pId=1859311
Software development co-op,Bose corporation,Massachusetts,Stow,https://nucareers.northeastern.edu/postings.htm?pId=1855704
Audio systems engineer,Bose corporation,Massachusetts,Framingham,https://nucareers.northeastern.edu/postings.htm?pId=1855688
Project management co-op,Bose corporation,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1855693
Cloud product services co-op,Bose corporation,Massachusetts,Framingham,https://nucareers.northeastern.edu/postings.htm?pId=1855500
Research assistant,Boston childrens hospital,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1856791
(ccis) qa to full stack ruby on rails developer,Boston common press limited partnership,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1856835
Software engineering co-op product development,Boston engineering corporation,Massachusetts,Waltham,https://nucareers.northeastern.edu/postings.htm?pId=1853473
(ccis) .net development co-op,Boston interactive,Massachusetts,Charlestown,https://nucareers.northeastern.edu/postings.htm?pId=1858216
(ccis) front end development co-op,Boston interactive,Massachusetts,Charlestown,https://nucareers.northeastern.edu/postings.htm?pId=1858214
User experience co-op,Boston interactive,Massachusetts,Charlestown,https://nucareers.northeastern.edu/postings.htm?pId=1858219
Operations associate,Boston private financial holdings  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1854925
Research specialist,Boston public schools,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1851656
(ccis) innovation software developer,Bottomline technologies,New hampshire,Portsmouth,https://nucareers.northeastern.edu/postings.htm?pId=1851342
(ccis) software engineer in test co-op,Brightcove inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1854259
(ccis) information security analyst,Brightcove inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1856394
(ccis) software engineering co-op,Broad institute of mit and harvard,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1847988
(ccis) software engineer - macarthur lab,Broad institute,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1856471
